sales_person_id,first_name,last_name,email,corp_id,active
1,Aarav,Singh,aarav.singh1@autosaless.in,CORP1001,true
2,Vihaan,Iyer,vihaan.iyer2@autosaless.in,CORP1002,true
3,Aditya,Joshi,aditya.joshi3@autosaless.in,CORP1003,true
4,Arjun,Banerjee,arjun.banerjee4@autosaless.in,CORP1004,true
5,Sai,Kapoor,sai.kapoor5@autosaless.in,CORP1005,true
6,Reyansh,Rao,reyansh.rao6@autosaless.in,CORP1006,true
7,Ayaan,Desai,ayaan.desai7@autosaless.in,CORP1007,true
8,Krishna,Mishra,krishna.mishra8@autosaless.in,CORP1008,true
9,Ishaan,Chauhan,ishaan.chauhan9@autosaless.in,CORP1009,true
10,Shaurya,Sharma,shaurya.sharma10@autosaless.in,CORP1010,true
11,Ananya,Singh,ananya.singh11@autosaless.in,CORP1011,true
12,Aadhya,Iyer,aadhya.iyer12@autosaless.in,CORP1012,true
13,Aarohi,Joshi,aarohi.joshi13@autosaless.in,CORP1013,true
14,Anika,Banerjee,anika.banerjee14@autosaless.in,CORP1014,true
15,Diya,Kapoor,diya.kapoor15@autosaless.in,CORP1015,true
16,Myra,Rao,myra.rao16@autosaless.in,CORP1016,true
17,Sara,Desai,sara.desai17@autosaless.in,CORP1017,true
18,Pari,Mishra,pari.mishra18@autosaless.in,CORP1018,true
19,Riya,Chauhan,riya.chauhan19@autosaless.in,CORP1019,true
20,Kiara,Sharma,kiara.sharma20@autosaless.in,CORP1020,true
21,Rohan,Singh,rohan.singh21@autosaless.in,CORP1021,true
22,Kabir,Iyer,kabir.iyer22@autosaless.in,CORP1022,true
23,Vivaan,Joshi,vivaan.joshi23@autosaless.in,CORP1023,true
24,Atharv,Banerjee,atharv.banerjee24@autosaless.in,CORP1024,true
25,Dhruv,Kapoor,dhruv.kapoor25@autosaless.in,CORP1025,true
26,Kabira,Rao,kabira.rao26@autosaless.in,CORP1026,true
27,Neha,Desai,neha.desai27@autosaless.in,CORP1027,true
28,Priya,Mishra,priya.mishra28@autosaless.in,CORP1028,true
29,Sneha,Chauhan,sneha.chauhan29@autosaless.in,CORP1029,true
30,Pooja,Sharma,pooja.sharma30@autosaless.in,CORP1030,true
31,Rahul,Singh,rahul.singh31@autosaless.in,CORP1031,true
32,Amit,Iyer,amit.iyer32@autosaless.in,CORP1032,true
33,Suresh,Joshi,suresh.joshi33@autosaless.in,CORP1033,true
34,Vikram,Banerjee,vikram.banerjee34@autosaless.in,CORP1034,true
35,Deepak,Kapoor,deepak.kapoor35@autosaless.in,CORP1035,true
36,Meera,Rao,meera.rao36@autosaless.in,CORP1036,true
37,Kavya,Desai,kavya.desai37@autosaless.in,CORP1037,true
38,Isha,Mishra,isha.mishra38@autosaless.in,CORP1038,true
39,Nisha,Chauhan,nisha.chauhan39@autosaless.in,CORP1039,true
40,Tanvi,Sharma,tanvi.sharma40@autosaless.in,CORP1040,true
41,Manish,Singh,manish.singh41@autosaless.in,CORP1041,true
42,Nikhil,Iyer,nikhil.iyer42@autosaless.in,CORP1042,true
43,Gaurav,Joshi,gaurav.joshi43@autosaless.in,CORP1043,true
44,Siddharth,Banerjee,siddharth.banerjee44@autosaless.in,CORP1044,true
45,Abhinav,Kapoor,abhinav.kapoor45@autosaless.in,CORP1045,true
46,Ritika,Rao,ritika.rao46@autosaless.in,CORP1046,true
47,Shruti,Desai,shruti.desai47@autosaless.in,CORP1047,true
48,Pallavi,Mishra,pallavi.mishra48@autosaless.in,CORP1048,true
49,Swati,Chauhan,swati.chauhan49@autosaless.in,CORP1049,true
50,Divya,Sharma,divya.sharma50@autosaless.in,CORP1050,true
51,Aarav,Singh,aarav.singh51@autosaless.in,CORP1051,true
52,Vihaan,Iyer,vihaan.iyer52@autosaless.in,CORP1052,true
53,Aditya,Joshi,aditya.joshi53@autosaless.in,CORP1053,true
54,Arjun,Banerjee,arjun.banerjee54@autosaless.in,CORP1054,true
55,Sai,Kapoor,sai.kapoor55@autosaless.in,CORP1055,true
56,Reyansh,Rao,reyansh.rao56@autosaless.in,CORP1056,false
57,Ayaan,Desai,ayaan.desai57@autosaless.in,CORP1057,false
58,Krishna,Mishra,krishna.mishra58@autosaless.in,CORP1058,false
59,Ishaan,Chauhan,ishaan.chauhan59@autosaless.in,CORP1059,false
60,Shaurya,Sharma,shaurya.sharma60@autosaless.in,CORP1060,false
